순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","고전","데미안 (오리지널 초판본 표지디자인)","98710881","9791187011590","04850","헤르만 헤세 지음, 이미영 옮김, 김선형","코너스톤","20170101","3,300","2,970","160점","87748","소설/시/희곡"
"2","고전","면도날","4213854","9788937462146","04800","서머싯 몸 지음, 안진환 옮김","민음사","20090630","13,000","11,700","650점","35724","소설/시/희곡"
"3","고전","싯다르타","329596","9788937460586","04850","헤르만 헤세 지음, 박병덕 옮김","민음사","20020120","8,000","7,200","400점","56975","소설/시/희곡"
"4","고전","수레바퀴 아래서 (오리지널 초판본 표지디자인)","98708362","9791187011606","04850","헤르만 헤세 지음, 박지희 옮김, 김선형 해설","코너스톤","20170101","3,300","2,970","160점","41991","소설/시/희곡"
"5","고전","데미안","260084","9788937460449","04850","헤르만 헤세 지음, 전영애 옮김","민음사","20001220","8,000","7,200","400점","100457","소설/시/희곡"
"6","고전","인간 실격","491611","9788937461033","04830","다자이 오사무 지음, 김춘미 옮김","민음사","20040515","9,000","8,100","450점","83270","소설/시/희곡"
"7","고전","이방인","212246612","9788937443848","","알베르 카뮈 지음, 김화영 옮김","민음사","20190902","10,000","9,000","500점","58564","소설/시/희곡"
"8","고전","1984","418906","9788937460777","04840","조지 오웰 지음, 정회성 옮김","민음사","20030616","11,000","9,900","550점","67055","소설/시/희곡"
"9","고전","브람스를 좋아하세요...","2156605","9788937461798","04800","프랑수아즈 사강 지음, 김남주 옮김","민음사","20080502","8,500","7,650","420점","38515","소설/시/희곡"
"10","고전","이집트 상형문자 필사 노트","350051323","9791170872566","03930","유성환 지음","휴머니스트","20241111","15,000","13,500","750점","16525","인문학"
"11","고전","1984 (오리지널 초판본 표지 디자인)","245553124","9791190669238","03840","조지 오웰 지음, 박유진 옮김, 박경서","코너스톤","20200630","4,400","3,960","220점","28098","소설/시/희곡"
"12","고전","괴테와의 대화 1","2146019","9788937461767","04800","요한 페터 에커만 지음, 장희창 옮김","민음사","20080502","16,000","14,400","800점","11032","소설/시/희곡"
"13","고전","동물농장 (오리지널 초판본 표지 디자인)","245552608","9791190669221","03840","조지 오웰 지음, 이수정 옮김, 박경서 해설","코너스톤","20200630","3,300","2,970","160점","23364","소설/시/희곡"
"14","고전","어린 왕자 (오리지널 초판본)","252131852","9791190669313","03860","앙투안 드 생텍쥐페리 지음, 김수영 옮김, 변광배 해설","코너스톤","20200922","3,300","2,970","160점","15583","소설/시/희곡"
"15","고전","하루 고전","309334107","9788994643991","02190","이상민 지음","라이온북스","20230131","5,500","4,950","270점","10445","자기계발"
"16","고전","설국","328730","9788937460616","04830","가와바타 야스나리 지음, 유숙자 옮김","민음사","20020128","8,000","7,200","400점","32848","소설/시/희곡"
"17","고전","동물농장","40674","9788937460050","04840","조지 오웰 지음, 도정일 옮김","민음사","19980805","8,000","7,200","400점","70916","소설/시/희곡"
"18","고전","오만과 편견","436838","9788937460883","04840","제인 오스틴 지음","민음사","20030920","13,000","11,700","650점","47007","소설/시/희곡"
"19","고전","달과 6펜스","237763","9788937460388","04840","서머셋 몸 지음, 송무 옮김","민음사","20000620","10,000","9,000","500점","46209","소설/시/희곡"
"20","고전","멋진 신세계","60836103","9788973814725","03840","올더스 헉슬리 지음, 안정효 옮김","(주)태일소담출판사","20150612","13,800","12,420","690점","41304","소설/시/희곡"
"21","고전","노인과 바다","14522431","9788937462788","04800","어니스트 헤밍웨이 지음, 김욱동 옮김","민음사","20120102","8,000","7,200","400점","37897","소설/시/희곡"
"22","고전","젊은 베르테르의 슬픔","187464","9788937460258","04850","요한 볼프강 폰 괴테 지음, 박찬기 옮김","민음사","19990320","8,000","7,200","400점","26254","소설/시/희곡"
"23","고전","아름다움에 관하여","351722229","9788957339503","94160","플로티누스 지음, 송유레 옮김","아카넷","20241101","15,000","14,250","750점","2820","인문학"
"24","고전","자신을 속이지 않는 공부","349859197","9788936480592","03150","박희병 엮음","창비","20241018","17,000","15,300","850점","3785","인문학"
"25","고전","바스커빌가의 사냥개","352208545","9788937464485","04800","아서 코난 도일 지음, 박산호 옮김","민음사","20241108","14,000","12,600","700점","3030","소설/시/희곡"
"26","고전","군주론 (무삭제 완역본)","276097060","9791166817878","03160","니콜로 마키아벨리 지음, 김운찬 옮김","현대지성","20210726","7,700","6,930","380점","21349","사회과학"
"27","고전","이반 일리치의 죽음","330253181","9788937464386","04800","레프 니콜라예비치 톨스토이 지음, 김연경 옮김","민음사","20231208","12,000","10,800","600점","11263","소설/시/희곡"
"28","고전","명상록 (그리스어 원전 완역본)","139133446","9791187142379","03100","마르쿠스 아우렐리우스 지음, 박문재 옮김","현대지성","20180402","12,000","10,800","600점","23750","인문학"
"29","고전","오십에 읽는 손자병법","334084094","9791171830114","03140","최송목 지음","유노북스","20240228","18,500","16,650","920점","11836","인문학"
"30","고전","종의 기원","198419735","9791189198862","04400","찰스 로버트 다윈 지음, 장대익 옮김, 최재천 감수, 다윈 포럼 기획","사이언스북스","20190731","22,000","19,800","1,100점","22631","과학"
"31","고전","자유로부터의 도피","250111513","9791160804751","03180","에리히 프롬 지음, 김석희 옮김","휴머니스트","20200907","16,000","14,400","800점","17708","인문학"
"32","고전","호밀밭의 파수꾼","308822243","9788937460470","04800","J.D. 샐린저 지음, 정영목 옮김","민음사","20230117","12,000","10,800","600점","74975","소설/시/희곡"
"33","고전","카라마조프 가의 형제들 세트 - 전3권","20908390","9788937486067","14800","표도르 도스토옙스키 지음, 김연경 옮김","민음사","20121106","26,000","23,400","1,300점","25989","소설/시/희곡"
"34","고전","어린 왕자","68534943","9788932917245","03860","앙투안 드 생텍쥐페리 지음, 황현산 옮김","열린책들","20151020","11,800","10,620","590점","46697","소설/시/희곡"
"35","고전","변신·시골의사","60471","9788937460043","04850","프란츠 카프카 지음, 전영애 옮김","민음사","19980805","8,500","7,650","420점","30196","소설/시/희곡"
"36","고전","죄와 벌 1","16211750","9788937462849","04800","표도르 도스토예프스키 지음, 김연경 옮김","민음사","20120330","11,000","9,900","550점","19420","소설/시/희곡"
"37","고전","괴테와의 대화 2","2146018","9788937461774","04800","요한 페터 에커만 지음, 장희창 옮김","민음사","20080502","14,000","12,600","700점","6279","소설/시/희곡"
"38","고전","초판본 어린 왕자 (무선)","280504630","9791164455300","03860","앙투안 드 생텍쥐페리 지음, 김미정 옮김","더스토리","20211004","2,990","2,700","140점","19069","소설/시/희곡"
"39","고전","손자병법","260562624","9788958623427","","손무 지음, 김원중 옮김","휴머니스트","20201207","18,000","16,200","900점","10993","인문학"
"40","고전","초역 논어","352231786","9791198999108","03150","야스토미 아유미 지음, 고운기 옮김","레디투다이브","20241113","17,800","16,020","890점","1480","인문학"
"41","고전","수레바퀴 아래서","292110","9788937460500","04850","헤르만 헤세 지음, 김이섭 옮김","민음사","20010810","8,000","7,200","400점","31846","소설/시/희곡"
"42","고전","고도를 기다리며","256532","9788937460432","04860","사무엘 베케트 지음, 오증자 옮김","민음사","20001120","9,000","8,100","450점","27934","소설/시/희곡"
"43","고전","사람은 무엇으로 사는가 (러시아 원전 번역본)","262662801","9791191280630","03890","레프 니콜라예비치 톨스토이 지음, 홍대화 옮김","현대지성","20210205","7,700","6,930","380점","14326","소설/시/희곡"
"44","고전","자유론 (무삭제 완역본)","147125674","9791187142447","","존 스튜어트 밀 지음, 박문재 옮김","현대지성","20180601","7,700","6,930","380점","13712","인문학"
"45","고전","침묵의 봄","338537229","9788962632729","04300","레이첼 카슨 지음, 김은령 옮김, 홍욱희 감수","에코리브르","20240430","22,000","19,800","1,100점","13260","사회과학"
"46","고전","논어 (무삭제 완역본)","168916649","9791187142591","03140","공자 지음, 소준섭 옮김","현대지성","20181001","12,000","10,800","600점","11701","인문학"
"47","고전","체호프 단편선","389003","9788937460708","04890","안톤 파블로비치 체홉 지음, 박현섭 옮김","민음사","20021120","7,000","6,300","350점","16130","소설/시/희곡"
"48","고전","픽션들","13731314","9788937462757","04800","호르헤 루이스 보르헤스 지음, 송병선 옮김","민음사","20111021","11,000","9,900","550점","11877","소설/시/희곡"
"49","고전","연인","918870","9788937461446","04800","마르그리트 뒤라스 지음, 김인환 옮김","민음사","20070430","9,000","8,100","450점","8967","소설/시/희곡"
"50","고전","위대한 개츠비","417997","9788937460753","04840","F. 스콧 피츠제럴드 지음, 김욱동 옮김","민음사","20101208","9,000","8,100","450점","35274","소설/시/희곡"
"51","고전","페스트","11267326","9788937462672","04800","알베르 카뮈 지음, 김화영 옮김","민음사","20110325","14,000","12,600","700점","31280","소설/시/희곡"
"52","고전","폭풍의 언덕","549352","9788937461187","04840","에밀리 브론테 지음, 김종길 옮김","민음사","20050315","13,000","11,700","650점","18439","소설/시/희곡"
"53","고전","자유론","141071943","9791159312236","04160","존 스튜어트 밀 지음, 서병훈 옮김","책세상","20180330","9,900","8,910","490점","18010","사회과학"
"54","고전","이반 일리치의 죽음","20132372","9788936464073","03890","레프 니콜라예비치 톨스토이 지음, 이강은 옮김","창비","20121009","10,000","9,000","500점","15482","소설/시/희곡"
"55","고전","헤겔과 현대 사회","352704628","9791166843549","93130","찰스 테일러 지음, 박찬국 옮김","세창출판사(세창미디어)","20241125","24,000","21,600","720점","830","인문학"
"56","고전","무진기행","965741","9788937461491","04800","김승옥 지음","민음사","20070803","10,000","9,000","500점","14220","소설/시/희곡"
"57","고전","과학혁명의 구조","31586132","9788972915546","93400","토머스 S.쿤 지음, 김명자.홍성욱 옮김","까치","20130910","18,000","16,200","900점","11068","과학"
"58","고전","차라투스트라는 이렇게 말했다","454014","9788937460944","04850","프리드리히 니체 지음, 장희창 옮김","민음사","20040102","13,000","11,700","650점","24980","인문학"
"59","고전","다섯째 아이","198212","9788937460272","04840","도리스 레싱 지음, 정덕애 옮김","민음사","19990320","10,000","9,000","500점","14098","소설/시/희곡"
"60","고전","포스트맨은 벨을 두번 울린다","1707673","9788937461699","04800","제임스 M. 케인 지음, 이만식 옮김","민음사","20080205","9,000","8,100","450점","7371","소설/시/희곡"
"61","고전","사랑할 때와 죽을 때","6383454","9788937462467","04800","에리히 마리아 레마르크 지음, 장희창 옮김","민음사","20100430","15,000","13,500","750점","4471","소설/시/희곡"
"62","고전","오즈의 위대한 마법사","348971287","9791128890185","03840","L. 프랭크 바움 지음, 윌리엄 W. 덴슬로 그림, 강석주 옮김","지식을만드는지식","20241004","35,000","33,250","1,050점","830","소설/시/희곡"
"63","고전","그리스인 조르바","6037971","9788932909349","03890","니코스 카잔차키스 지음","열린책들","20091220","14,800","13,320","740점","37484","소설/시/희곡"
"64","고전","돈키호테 1","49225289","9788932916804","03870","미겔 데 세르반테스 사아베드라 지음, 안영옥 옮김","열린책들","20141115","17,800","16,020","890점","15146","소설/시/희곡"
"65","고전","달콤 쌉싸름한 초콜릿","521498","9788937461088","04800","라우라 에스키벨 지음, 권미선 옮김","민음사","20041020","10,000","9,000","500점","11486","소설/시/희곡"
"66","고전","삶의 한가운데","198265","9788937460289","04850","루이제 린저 지음, 박찬일 옮김","민음사","19990625","13,000","11,700","650점","10666","소설/시/희곡"
"67","고전","부분과 전체","318172944","9791187295686","03400","베르너 하이젠베르크 지음, 유영미 옮김, 김재영 감수","서커스(서커스출판상회)","20230615","23,000","20,700","1,150점","8598","과학"
"68","고전","금오신화","3645632","9788937462047","04800","김시습 지음, 이지하 옮김","민음사","20090417","8,000","7,200","400점","6509","소설/시/희곡"
"69","고전","변신","577204","9788954600200","03850","프란츠 카프카 지음, 이재황 옮김, 루이스 스카파티 그림","문학동네","20050730","11,000","9,900","550점","22684","소설/시/희곡"
"70","고전","안나 카레니나 세트 - 전3권","20908938","9788937486074","14800","레프 니콜라예비치 톨스토이 지음, 연진희 옮김","민음사","20121106","30,800","27,720","1,540점","19524","소설/시/희곡"
"71","고전","군주론","325854813","9791169850476","03160","니콜로 마키아벨리 지음, 최현주 옮김, 김상근 감수","페이지2(page2)","20231016","17,000","15,300","850점","14465","인문학"
"72","고전","자기만의 방","97899246","9788937429040","04800","버지니아 울프 지음, 이미애 옮김, 이민경 추천","민음사","20161125","8,800","7,920","440점","14371","에세이"
"73","고전","셰익스피어 4대 비극 세트 : 햄릿.오셀로.맥베스.리어 왕 - 전4권","20908675","9788937486111","14800","윌리엄 셰익스피어 지음, 최종철 옮김","민음사","20121106","22,800","20,520","1,140점","13626","소설/시/희곡"
"74","고전","카타리나 블룸의 잃어버린 명예","2224440","9788937461804","04800","하인리히 뵐 지음, 김연수 옮김","민음사","20080530","9,000","8,100","450점","13356","소설/시/희곡"
"75","고전","인간의 굴레에서 1","118702","9788937460111","04840","서머셋 몸 지음, 송무 옮김","민음사","19980930","13,000","11,700","650점","7728","소설/시/희곡"
"76","고전","자기 자신에게 이르는 것들 (명상록 헬라스어 완역본)","320980890","9788976828316","03190","마르쿠스 아우렐리우스 지음, 김재홍 옮김","그린비","20230731","13,000","11,700","390점","5362","인문학"
